Author,Betweenness,Cluster_Rank,Coreness,Decay,Degree,Diffusion,Dispersion,Eccentricity,Eigenvector,EvidentialSemiLocal,Harmonic,Katz,Load,Local_Structural,PageRank,Percolation,Radiality,SecondOrder,Semi_Local,Subgraph,VoteRank,Closeness,Class
R Sarikaya,37.64914962075499,1.903456677326024e-05,2,3064.921875,5.710370031978072e-05,3978.915875000001,0,8,6.412812540008683e-05,5911.959090472039,12169.43809523996,0.001879278,8.49053138861173e-08,2,1.4133391647896148e-05,7.84645741245198e-09,0.6132721043114114,0.6079268181420666,5934,0.00012266,0,0.22657408651231203,Nonawardee
S Nowlan,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876898e-05,0,0.2265058217550872,Nonawardee
Ss Fels,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876898e-05,0,0.2265058217550872,Nonawardee
R Memisevic,49085,3.806913354652048e-05,3,3061.90625,9.51728338663012e-05,4080.2465000000007,0,8,6.284793673254559e-05,5821.222066903668,12165.671428573289,0.001911004,7.11338807549374e-05,8,2.4859869609318335e-05,2.2229337735917956e-06,0.6131848608863932,0.6071111863878216,5843,0.000108677,0,0.22651253449726594,Nonawardee
N Frosst,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3695.190125000001,0,8,5.905699784385579e-05,5831.508300978662,12163.838095239957,0.001857631,0,2,1.1243573174623136e-05,0,0.61317693,0.6067378086214855,5853,7.635612519516249e-05,0,0.22650694051782055,Nonawardee
C Sminchisescu,0,3.806913354652048e-05,2,3061.15625,3.806913354652048e-05,3711.7715000000007,0,8,5.914093377239736e-05,5824.732466270565,12164.171428573289,0.001858927,0,2,1.0306815052520068e-05,0,0.6131801021541194,0.6068469047604289,5847,7.968003994437769e-05,0,0.22650917807644247,Nonawardee
Jc Barker,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876901e-05,0,0.2265058217550872,Nonawardee
R Salakhutdinov,394.1429432,3.806913354652048e-05,3,3436.023438,7.613826709304096e-05,11200.411749999996,0.3385174699294874,8,0.000223201,15608.819832680043,12698.023809525965,0.001994897,2.7341321756859727e-06,6,1.635540690793292e-05,5.29128868549073e-08,0.6258240538053996,0.6133904125339474,15632,0.00010073,0,0.23579255113003617,Nonawardee
V Gulshan,0,5.710370031978072e-05,3,3061.15625,5.710370031978072e-05,3798.3631250000003,0,8,5.971265914081303e-05,5826.458322149171,12164.338095239957,0.001875102,0,6,1.493751808384036e-05,0,0.6131785159100283,0.6068259331755843,5848,8.170564849574699e-05,0,0.22650805929160558,Nonawardee
Kj Lang,0,3.806913354652048e-05,2,3069.765625,3.806913354652048e-05,3849.9496250000007,0,8,6.185915663339197e-05,5886.341839974466,12177.304761906618,0.001859765,0,2,1.0669102109637073e-05,0,0.6135576282478348,0.6050007602028852,5908,8.44862697334153e-05,0,0.22677576356648652,Nonawardee
